縣市,選舉區別,候選人姓名,推薦之政黨,得票數
苗栗縣,第1選舉區,陳超明,無,79521
苗栗縣,第2選舉區,邱鎮軍,中國國民黨,89111
桃園市,第1選舉區,牛煦庭,中國國民黨,116571
桃園市,第2選舉區,涂權吉,中國國民黨,103697
桃園市,第3選舉區,魯明哲,中國國民黨,102056
桃園市,第4選舉區,萬美玲,中國國民黨,119430
桃園市,第5選舉區,呂玉玲,中國國民黨,89372
桃園市,第6選舉區,邱若華,中國國民黨,81513
花蓮縣,花蓮縣選舉區,傅崐萁,中國國民黨,68786
金門縣,金門縣選舉區,陳玉珍,中國國民黨,28846
南投縣,第1選舉區,馬文君,中國國民黨,68890
南投縣,第2選舉區,游顥,中國國民黨,70012
屏東縣,第1選舉區,鍾佳濱,民主進步黨,108723
屏東縣,第2選舉區,徐富癸,民主進步黨,108923
宜蘭縣,宜蘭縣選舉區,陳俊宇,民主進步黨,107308
連江縣,連江縣選舉區,陳雪生,中國國民黨,3118
新竹市,新竹市選舉區,鄭正鈐,中國國民黨,92014
新竹縣,第1選舉區,徐欣瑩,中國國民黨,84959
新竹縣,第2選舉區,林思銘,中國國民黨,76608
新北市,第1選舉區,洪孟楷,中國國民黨,158596
新北市,第2選舉區,林淑芬,民主進步黨,118544
新北市,第3選舉區,李坤城,民主進步黨,100141
新北市,第4選舉區,吳秉叡,民主進步黨,107772
新北市,第5選舉區,蘇巧慧,民主進步黨,98586
新北市,第6選舉區,張宏陸,民主進步黨,78847
新北市,第7選舉區,葉元之,中國國民黨,78134
新北市,第8選舉區,張智倫,中國國民黨,89808
新北市,第9選舉區,林德福,中國國民黨,98260
新北市,第10選舉區,吳琪銘,民主進步黨,103437
新北市,第11選舉區,羅明才,中國國民黨,123399
新北市,第12選舉區,廖先翔,中國國民黨,92489
臺東縣,臺東縣選舉區,黃建賓,中國國民黨,25778
臺南市,第1選舉區,賴惠員,民主進步黨,96662
臺南市,第2選舉區,郭國文,民主進步黨,97981
臺南市,第3選舉區,陳亭妃,民主進步黨,132377
臺南市,第4選舉區,林宜瑾,民主進步黨,104688
臺南市,第5選舉區,林俊憲,民主進步黨,126248
臺南市,第6選舉區,王定宇,民主進步黨,89235
臺北市,第1選舉區,吳思瑤,民主進步黨,91958
臺北市,第2選舉區,王世堅,民主進步黨,111605
臺北市,第3選舉區,王鴻薇,中國國民黨,105050
臺北市,第4選舉區,李彥秀,中國國民黨,112743
臺北市,第5選舉區,吳沛憶,民主進步黨,66932
臺北市,第6選舉區,羅智強,中國國民黨,87973
臺北市,第7選舉區,徐巧芯,中國國民黨,89727
臺北市,第8選舉區,賴士葆,中國國民黨,87099
臺中市,第1選舉區,蔡其昌,民主進步黨,79884
臺中市,第2選舉區,顏寬恒,中國國民黨,118962
臺中市,第3選舉區,楊瓊瓔,中國國民黨,106306
臺中市,第4選舉區,廖偉翔,中國國民黨,119740
臺中市,第5選舉區,黃健豪,中國國民黨,134706
臺中市,第6選舉區,羅廷瑋,中國國民黨,103630
臺中市,第7選舉區,何欣純,民主進步黨,132235
臺中市,第8選舉區,江啟臣,中國國民黨,88651
澎湖縣,澎湖縣選舉區,楊曜,民主進步黨,24669
雲林縣,第1選舉區,丁學忠,中國國民黨,84736
雲林縣,第2選舉區,劉建國,民主進步黨,115376
彰化縣,第1選舉區,陳秀寳,民主進步黨,98437
彰化縣,第2選舉區,黃秀芳,民主進步黨,90688
彰化縣,第3選舉區,謝衣鳯,中國國民黨,97681
彰化縣,第4選舉區,陳素月,民主進步黨,97608
嘉義市,嘉義市選舉區,王美惠,民主進步黨,78069
嘉義縣,第1選舉區,蔡易餘,民主進步黨,78551
嘉義縣,第2選舉區,陳冠廷,民主進步黨,73598
高雄市,第1選舉區,邱議瑩,民主進步黨,79567
高雄市,第2選舉區,邱志偉,民主進步黨,117992
高雄市,第3選舉區,李柏毅,民主進步黨,108184
高雄市,第4選舉區,林岱樺,民主進步黨,121001
高雄市,第5選舉區,李昆澤,民主進步黨,108735
高雄市,第6選舉區,黃捷,民主進步黨,113670
高雄市,第7選舉區,許智傑,民主進步黨,109484
高雄市,第8選舉區,賴瑞隆,民主進步黨,121064
基隆市,基隆市選舉區,林沛祥,中國國民黨,91986
原住民,平地原住民,陳瑩,民主進步黨,27431
原住民,平地原住民,黃仁,中國國民黨,20087
原住民,平地原住民,鄭天財 Sra‧Kacaw,中國國民黨,45242
原住民,山地原住民,盧縣一,中國國民黨,22284
原住民,山地原住民,高金素梅,無,37131
原住民,山地原住民,伍麗華 Saidhai．Tahovecahe,民主進步黨,31874
